#country+name,#adm1+name,#adm1+code,#affected+infected,#affected+killed,#affected+recovered,,,,,,,,,,,#country+name#adm1+code,#N/A,#N/A,#N/A,,G:1000 et plus,
Algeria,Naama,DZ031,84,,,,,,,,,Week 27,,,,AlgeriaDZ031,#N/A,-0.779758885,33.27299584,,D:100 - 250,
Algeria,Oran,DZ032,858,,,,,,,,,Week 27,,,,AlgeriaDZ032,#N/A,-0.594396909,35.63634461,,D:100 - 250,
Algeria,Ouargla,DZ033,474,,,,,,,,,Week 27,,,,AlgeriaDZ033,#N/A,6.164797858,31.17690063,,C:50 - 100,
Algeria,Oum El Bouaghi,DZ034,274,,,,,,,,,Week 27,,,,AlgeriaDZ034,#N/A,7.037499193,35.82542495,,D:100 - 250,
Algeria,Relizane,DZ035,75,,,,,,,,,Week 27,,,,AlgeriaDZ035,#N/A,0.812801274,35.82126926,,E:250 - 500,
Algeria,Saida,DZ036,40,,,,,,,,,Week 27,,,,AlgeriaDZ036,#N/A,0.282491913,34.74338244,,B:10-50,
Algeria,Setif,DZ037,1282,,,,,,,,,Week 27,,,,AlgeriaDZ037,#N/A,5.408187647,36.12403387,,E:250 - 500,
Algeria,Sidi Bel Abbes,DZ038,120,,,,,,,,,Week 27,,,,AlgeriaDZ038,#N/A,-0.527617427,34.69750436,,D:100 - 250,
Algeria,Skikda,DZ039,190,,,,,,,,,Week 27,,,,AlgeriaDZ039,#N/A,6.829463114,36.77023989,,D:100 - 250,
Algeria,Souk-Ahras,DZ040,130,,,,,,,,,Week 27,,,,AlgeriaDZ040,#N/A,7.86468771,36.14531848,,E:250 - 500,
Algeria,Tamanrasset,DZ041,56,,,,,,,,,Week 27,,,,AlgeriaDZ041,#N/A,5.110207852,24.13312566,,A:<10,
Algeria,Tebessa,DZ042,182,,,,,,,,,Week 27,,,,AlgeriaDZ042,#N/A,7.851719762,35.09366658,,A:<10,
Algeria,Tiaret,DZ043,251,,,,,,,,,Week 27,,,,AlgeriaDZ043,#N/A,1.551305704,34.93125309,,A:<10,
Algeria,Tindouf,DZ044,25,,,,,,,,,Week 27,,,,AlgeriaDZ044,#N/A,-5.954482169,27.63175443,,A:<10,
Algeria,Tipaza,DZ045,447,,,,,,,,,Week 27,,,,AlgeriaDZ045,#N/A,2.228752946,36.52566438,,A:<10,
Algeria,Tissemsilt,DZ046,119,,,,,,,,,Week 27,,,,AlgeriaDZ046,#N/A,1.797173824,35.77421527,,A:<10,
Algeria,Tizi Ouzou,DZ047,244,,,,,,,,,Week 27,,,,AlgeriaDZ047,#N/A,4.19499495,36.67953427,,A:<10,
Algeria,Tlemcen,DZ048,351,,,,,,,,,Week 27,,,,AlgeriaDZ048,#N/A,-1.448633704,34.70031532,,A:<10,
Algeria,Ain-Temouchent,DZ003,124,5,0,,,,,,,Week 26,,,,AlgeriaDZ003,#N/A,-1.070679669,35.38250713,,A:<10,
